id,vendor_name,industry,homepage
60949481-739b-4ff4-992e-af360c977755,"Reilly, Leffler and Kreiger",Business Services,https://abc.net.au
ad96aa78-086d-417a-a8cb-e64a0f4470aa,Kemmer LLC,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://intel.com
cc095fc2-c2e6-42bb-9f33-00b97679d7cf,"Deckow, Legros and Wehner",Industrial Machinery/Components,https://histats.com
28293e64-b077-495a-9571-9114853d9fd4,Rodriguez Group,Major Pharmaceuticals,http://cargocollective.com
8c94be6d-5c89-4bd6-bc74-f513326bc696,Schaefer Inc,Ophthalmic Goods,https://msn.com
26f23d8e-4589-4d31-89c6-0d76b3b26c3e,"Larkin, Corwin and Mueller",Major Pharmaceuticals,https://apache.org
a1c1d3a4-bbf8-40d1-ae81-5d0a1e95ccb1,"Gleason, Quitzon and Balistreri",EDP Services,https://gov.uk
9a3c4ccd-bb32-4da4-a30d-63cabd287e15,Ziemann Group,Life Insurance,https://army.mil
951d32f1-2118-4237-a7a6-6e7d62df03f4,Roob-Reichert,Other Consumer Services,https://examiner.com
a57ab777-fc6b-4b16-87e9-11d86756a4ed,"Ernser, Schiller and Littel",Major Pharmaceuticals,https://stumbleupon.com
649e5207-2f58-44ae-9438-805e9cdfd565,Bergnaum LLC,n/a,http://shutterfly.com
713b1c90-ea24-4a3a-acc9-26c6d873a9e0,Kunde-Von,Real Estate Investment Trusts,https://icq.com
660e5be3-1eb5-40d4-bb3a-d5aceb0169d0,"Dickinson, Casper and Koelpin",Major Pharmaceuticals,https://angelfire.com
5ee822bb-e5c9-4025-90e3-03da75069795,"Corwin, Considine and Ryan",n/a,http://mayoclinic.com
04bd1e91-2672-4ccb-90bf-6569adb0fb58,Lebsack-Mohr,n/a,https://mtv.com
40728e54-2f5b-4d94-b425-ae4069e9f87e,Jenkins Inc,Semiconductors,http://salon.com
1609973d-4460-4d54-91d7-d643f5da5e21,"Rosenbaum, Ebert and Lehner",Automotive Aftermarket,http://google.it
5800a25c-20bc-43d4-83c0-214e2cfcc6f0,"Zieme, Waters and Baumbach",Metal Fabrications,https://shinystat.com
1567c824-ad9f-4ec5-8a4c-06b46a1600b2,Hoppe-Kub,Major Pharmaceuticals,https://house.gov
34095b1b-54d8-4dfd-a2d2-69c541f12a02,Huels-Kautzer,Oil & Gas Production,http://mapquest.com
a9465726-600c-40f6-8703-2b35c63fe26a,Harris-McLaughlin,Radio And Television Broadcasting And Communications Equipment,https://ucoz.ru
4f9e3977-77fe-46ca-9af6-78f47659e872,"Nicolas, Gerhold and Nikolaus",Tools/Hardware,https://pen.io
304ed7f9-da38-4e8e-a344-d3128f03757f,Bruen Inc,Electric Utilities: Central,https://oakley.com
29615784-5d94-4303-a657-e95a3a55d978,Graham-Emmerich,Diversified Commercial Services,http://patch.com
efe9cb28-52d2-4d3a-9cac-64be6c198379,"Runolfsdottir, Denesik and Ernser",Telecommunications Equipment,https://arizona.edu
